parentR,childR
http://ru.wikipedia.org/wiki/Правительство_Российской_Федерации,http://ru.wikipedia.org/wiki/РусГидро
http://ru.wikipedia.org/wiki/Westdeutscher_Rundfunk,http://ru.wikipedia.org/wiki/WDR_Fernsehen
http://ru.wikipedia.org/wiki/Fiat,http://ru.wikipedia.org/wiki/Chrysler
http://ru.wikipedia.org/wiki/Volkswagen_(концерн),http://ru.wikipedia.org/wiki/Audi
http://ru.wikipedia.org/wiki/Volkswagen_(концерн),http://ru.wikipedia.org/wiki/Ducati
"http://ru.wikipedia.org/wiki/Ричардс,_Дэвид",http://ru.wikipedia.org/wiki/Aston_Martin
http://ru.wikipedia.org/wiki/Национальный_банк_Украины,http://ru.wikipedia.org/wiki/БТБ
http://ru.wikipedia.org/wiki/Audi,http://ru.wikipedia.org/wiki/Ducati
"http://ru.wikipedia.org/wiki/Феррари,_Пьеро",http://ru.wikipedia.org/wiki/Ferrari
http://ru.wikipedia.org/wiki/Renault,http://ru.wikipedia.org/wiki/АвтоВАЗ
http://ru.wikipedia.org/wiki/Hewlett-Packard,http://ru.wikipedia.org/wiki/Compaq
http://ru.wikipedia.org/wiki/Sony_Music_Entertainment,http://ru.wikipedia.org/wiki/Vevo
http://ru.wikipedia.org/wiki/Universal_Music_Group,http://ru.wikipedia.org/wiki/Vevo
http://ru.wikipedia.org/wiki/Правительство_Австралии,http://ru.wikipedia.org/wiki/Australian_Broadcasting_Corporation
http://ru.wikipedia.org/wiki/Google_(компания),http://ru.wikipedia.org/wiki/Vevo
http://ru.wikipedia.org/wiki/Apple,http://ru.wikipedia.org/wiki/NeXT
http://ru.wikipedia.org/wiki/General_Motors,http://ru.wikipedia.org/wiki/Hummer
http://ru.wikipedia.org/wiki/Microsoft,http://ru.wikipedia.org/wiki/Lionhead_Studios
http://ru.wikipedia.org/wiki/Toyota,http://ru.wikipedia.org/wiki/Lexus
http://ru.wikipedia.org/wiki/Renault,http://ru.wikipedia.org/wiki/Nissan
http://ru.wikipedia.org/wiki/Electronic_Arts,http://ru.wikipedia.org/wiki/Maxis
