parentR,childR
http://ru.wikipedia.org/wiki/Совет_народных_комиссаров_СССР,http://ru.wikipedia.org/wiki/Всероссийская_чрезвычайная_комиссия_по_борьбе_с_контрреволюцией_и_саботажем_при_СНК_РСФСР
http://ru.wikipedia.org/wiki/Национальные_институты_здравоохранения_США,http://ru.wikipedia.org/wiki/Национальный_институт_психического_здоровья
http://ru.wikipedia.org/wiki/Государственный_совет_КНР,http://ru.wikipedia.org/wiki/Министерство_гражданской_администрации_КНР
http://ru.wikipedia.org/wiki/Государственный_совет_КНР,http://ru.wikipedia.org/wiki/Китайская_академия_наук
http://ru.wikipedia.org/wiki/Министерство_внутренней_безопасности,http://ru.wikipedia.org/wiki/Федеральное_агентство_по_управлению_в_чрезвычайных_ситуациях_(США)
http://ru.wikipedia.org/wiki/Министерство_внутренних_дел_США,http://ru.wikipedia.org/wiki/Бюро_по_делам_индейцев
http://ru.wikipedia.org/wiki/Министерство_внутренних_дел_США,http://ru.wikipedia.org/wiki/Служба_охраны_рыбных_ресурсов_и_диких_животных_США
http://ru.wikipedia.org/wiki/Казначейство_Австралии,http://ru.wikipedia.org/wiki/Австралийская_комиссия_по_вопросам_конкуренции_и_защиты_потребителей
http://ru.wikipedia.org/wiki/Австралия,http://ru.wikipedia.org/wiki/Казначейство_Австралии
http://ru.wikipedia.org/wiki/Римско-католическая_церковь,http://ru.wikipedia.org/wiki/Опус_Деи
http://ru.wikipedia.org/wiki/Независимые_агентства_и_корпорации_Федерального_правительства_США,http://ru.wikipedia.org/wiki/Центральное_разведывательное_управление
http://ru.wikipedia.org/wiki/Sony_Pictures_Entertainment,http://ru.wikipedia.org/wiki/Sony_Entertainment_Television
http://ru.wikipedia.org/wiki/Министерство_обороны_США,http://ru.wikipedia.org/wiki/Разведывательное_управление_Министерства_обороны_США
http://ru.wikipedia.org/wiki/Кабинет_министров_Украины,http://ru.wikipedia.org/wiki/Министерство_культуры_Украины
http://ru.wikipedia.org/wiki/Правительство_Польши,http://ru.wikipedia.org/wiki/Министерство_окружающей_среды_Польши
http://ru.wikipedia.org/wiki/Правительство_Польши,http://ru.wikipedia.org/wiki/Министерство_государственной_казны_Польши
http://ru.wikipedia.org/wiki/Государственный_совет_КНР,http://ru.wikipedia.org/wiki/Министерство_коммерции_Китайской_Народной_Республики
http://ru.wikipedia.org/wiki/Военно-воздушные_силы_США,http://ru.wikipedia.org/wiki/Объединённый_американский_военно-морской_центр_по_предупреждению_тайфунов
http://ru.wikipedia.org/wiki/Министерство_юстиции_США,http://ru.wikipedia.org/wiki/Служба_иммиграции_и_натурализации_США
http://ru.wikipedia.org/wiki/Министерство_финансов_США,http://ru.wikipedia.org/wiki/Служба_внутренних_доходов
http://ru.wikipedia.org/wiki/СС,http://ru.wikipedia.org/wiki/Главное_управление_СС
http://ru.wikipedia.org/wiki/Вооружённые_силы_Сирии,http://ru.wikipedia.org/wiki/Военная_разведка_Сирии
