parentR,childR
http://ru.wikipedia.org/wiki/AOL,http://ru.wikipedia.org/wiki/The_Huffington_Post
http://ru.wikipedia.org/wiki/AOL,http://ru.wikipedia.org/wiki/Netscape_Communications
http://ru.wikipedia.org/wiki/Apple,http://ru.wikipedia.org/wiki/FingerWorks
http://ru.wikipedia.org/wiki/ArcelorMittal,http://ru.wikipedia.org/wiki/Криворожсталь
http://ru.wikipedia.org/wiki/Armada_Music,http://ru.wikipedia.org/wiki/Armind
http://ru.wikipedia.org/wiki/Armada_Music,http://ru.wikipedia.org/wiki/A_State_of_Trance_(лейбл)
http://ru.wikipedia.org/wiki/Armada_Music,http://ru.wikipedia.org/wiki/Aropa_Records
http://ru.wikipedia.org/wiki/Armstrong_Whitworth,http://ru.wikipedia.org/wiki/Vickers-Armstrongs
http://ru.wikipedia.org/wiki/Ashok_Leyland,http://ru.wikipedia.org/wiki/Optare
http://ru.wikipedia.org/wiki/Asiana_Airlines,http://ru.wikipedia.org/wiki/Air_Busan
http://ru.wikipedia.org/wiki/AT&T,http://ru.wikipedia.org/wiki/AT&T_Mobility
http://ru.wikipedia.org/wiki/AT&T_Mobility,http://ru.wikipedia.org/wiki/Alltel
http://ru.wikipedia.org/wiki/Atlas_Air,http://ru.wikipedia.org/wiki/Polar_Air_Cargo
http://ru.wikipedia.org/wiki/Auchan,http://ru.wikipedia.org/wiki/Atac
http://ru.wikipedia.org/wiki/Audi,http://ru.wikipedia.org/wiki/Lamborghini
http://ru.wikipedia.org/wiki/Austal,http://ru.wikipedia.org/wiki/Austal_USA
http://ru.wikipedia.org/wiki/Austrian_Airlines,http://ru.wikipedia.org/wiki/Lauda_Air
http://ru.wikipedia.org/wiki/Austrian_Airlines,http://ru.wikipedia.org/wiki/Международные_авиалинии_Украины
http://ru.wikipedia.org/wiki/Avex_Group,http://ru.wikipedia.org/wiki/Avex_Trax
http://ru.wikipedia.org/wiki/Avia_Solutions_Group,http://ru.wikipedia.org/wiki/Baltic_Aviation_Academy
http://ru.wikipedia.org/wiki/AVIC_International,http://ru.wikipedia.org/wiki/Cirrus_Aviation
http://ru.wikipedia.org/wiki/Avro_Aircraft,http://ru.wikipedia.org/wiki/Avro_Canada
http://ru.wikipedia.org/wiki/Avro_Canada,http://ru.wikipedia.org/wiki/Orenda_Aerospace
http://ru.wikipedia.org/wiki/BAE_Systems,http://ru.wikipedia.org/wiki/MBDA
http://ru.wikipedia.org/wiki/Bank_of_America,http://ru.wikipedia.org/wiki/Merrill_Lynch
http://ru.wikipedia.org/wiki/Bar_XH_Air,http://ru.wikipedia.org/wiki/Alberta_Citylink
http://ru.wikipedia.org/wiki/BASF,http://ru.wikipedia.org/wiki/Wintershall
http://ru.wikipedia.org/wiki/Beijing_Perfect_World,http://ru.wikipedia.org/wiki/Runic_Games
http://ru.wikipedia.org/wiki/Belkin,http://ru.wikipedia.org/wiki/Linksys
http://ru.wikipedia.org/wiki/Berkshire_Hathaway,http://ru.wikipedia.org/wiki/Kirby_(компания)
http://ru.wikipedia.org/wiki/Berkshire_Hathaway,http://ru.wikipedia.org/wiki/General_Re
http://ru.wikipedia.org/wiki/Berkshire_Hathaway,http://ru.wikipedia.org/wiki/GEICO
http://ru.wikipedia.org/wiki/Bertelsmann,http://ru.wikipedia.org/wiki/Sony_BMG
http://ru.wikipedia.org/wiki/Bertelsmann,http://ru.wikipedia.org/wiki/RTL_Group
http://ru.wikipedia.org/wiki/Best_Buy,http://ru.wikipedia.org/wiki/Future_Shop
http://ru.wikipedia.org/wiki/Bethesda_Softworks,http://ru.wikipedia.org/wiki/Bethesda_Game_Studios
http://ru.wikipedia.org/wiki/Bloomsbury_Publishing,http://ru.wikipedia.org/wiki/Continuum_International_Publishing_Group
http://ru.wikipedia.org/wiki/Bmi,http://ru.wikipedia.org/wiki/Bmibaby
http://ru.wikipedia.org/wiki/BMW,http://ru.wikipedia.org/wiki/Alpina
http://ru.wikipedia.org/wiki/BMW,http://ru.wikipedia.org/wiki/Rover_Group
http://ru.wikipedia.org/wiki/BMW,http://ru.wikipedia.org/wiki/Rolls-Royce_Motor_Cars
http://ru.wikipedia.org/wiki/BMW,http://ru.wikipedia.org/wiki/BMW_i
http://ru.wikipedia.org/wiki/Boeing,http://ru.wikipedia.org/wiki/United_Space_Alliance
http://ru.wikipedia.org/wiki/Boeing,http://ru.wikipedia.org/wiki/Jeppesen
http://ru.wikipedia.org/wiki/Boeing,http://ru.wikipedia.org/wiki/NarusInsight
http://ru.wikipedia.org/wiki/Borgward,http://ru.wikipedia.org/wiki/Goliath_(автомобильная_марка)
http://ru.wikipedia.org/wiki/British_Aerospace,http://ru.wikipedia.org/wiki/Rover_Group
http://ru.wikipedia.org/wiki/British_Airways,http://ru.wikipedia.org/wiki/BA_CityFlyer
http://ru.wikipedia.org/wiki/British_Airways,http://ru.wikipedia.org/wiki/Comair_(ЮАР)
http://ru.wikipedia.org/wiki/British_American_Tobacco,http://ru.wikipedia.org/wiki/British_American_Tobacco_Ghana
http://ru.wikipedia.org/wiki/British_Leyland_Motor_Corporation,http://ru.wikipedia.org/wiki/AEC
http://ru.wikipedia.org/wiki/British_Leyland_Motor_Corporation,http://ru.wikipedia.org/wiki/Triumph_Motor_Company
http://ru.wikipedia.org/wiki/Brown-Forman,http://ru.wikipedia.org/wiki/Jack_Daniel’s
http://ru.wikipedia.org/wiki/Carnival_Corporation_&_plc,http://ru.wikipedia.org/wiki/Cunard_Line
http://ru.wikipedia.org/wiki/Carnival_Corporation_&_plc,http://ru.wikipedia.org/wiki/Holland_America_Line
http://ru.wikipedia.org/wiki/Carnival_Corporation_&_plc,http://ru.wikipedia.org/wiki/Carnival_Cruise_Lines
http://ru.wikipedia.org/wiki/Carnival_Corporation_&_plc,http://ru.wikipedia.org/wiki/White_Star_Line
http://ru.wikipedia.org/wiki/Carnival_Corporation_&_plc,http://ru.wikipedia.org/wiki/The_Yachts_of_Seabourn
http://ru.wikipedia.org/wiki/Carnival_Corporation_&_plc,http://ru.wikipedia.org/wiki/Costa_Crociere
http://ru.wikipedia.org/wiki/Carpatair,http://ru.wikipedia.org/wiki/Moldavian_Airlines
http://ru.wikipedia.org/wiki/Cathay_Pacific,http://ru.wikipedia.org/wiki/Air_China
http://ru.wikipedia.org/wiki/Cathay_Pacific,http://ru.wikipedia.org/wiki/Air_Hong_Kong
http://ru.wikipedia.org/wiki/Cathay_Pacific,http://ru.wikipedia.org/wiki/Dragonair
http://ru.wikipedia.org/wiki/CBS_Corporation,http://ru.wikipedia.org/wiki/Simon_&_Schuster
http://ru.wikipedia.org/wiki/CCP_Games,http://ru.wikipedia.org/wiki/White_Wolf_Publishing
http://ru.wikipedia.org/wiki/CD_Projekt_RED,http://ru.wikipedia.org/wiki/Good_Old_Games
http://ru.wikipedia.org/wiki/CD_Projekt_RED,http://ru.wikipedia.org/wiki/CD_Projekt
http://ru.wikipedia.org/wiki/Cerberus_Capital_Management,http://ru.wikipedia.org/wiki/Spyglass_Entertainment
http://ru.wikipedia.org/wiki/Changan,http://ru.wikipedia.org/wiki/Hafei
http://ru.wikipedia.org/wiki/China_Coal_Energy,http://ru.wikipedia.org/wiki/China_Coal_Energy
http://ru.wikipedia.org/wiki/China_Eastern_Airlines,http://ru.wikipedia.org/wiki/Shanghai_Airlines
http://ru.wikipedia.org/wiki/China_Eastern_Airlines,http://ru.wikipedia.org/wiki/China_United_Airlines
http://ru.wikipedia.org/wiki/China_Southern_Airlines,http://ru.wikipedia.org/wiki/Xiamen_Airlines
http://ru.wikipedia.org/wiki/China_Southern_Airlines,http://ru.wikipedia.org/wiki/Sichuan_Airlines
http://ru.wikipedia.org/wiki/Christian_Dior,http://ru.wikipedia.org/wiki/LVMH
http://ru.wikipedia.org/wiki/Chrysler,http://ru.wikipedia.org/wiki/Dodge
http://ru.wikipedia.org/wiki/Chrysler,http://ru.wikipedia.org/wiki/Jeep
http://ru.wikipedia.org/wiki/Chrysler,http://ru.wikipedia.org/wiki/Plymouth
http://ru.wikipedia.org/wiki/Cisco_Systems,http://ru.wikipedia.org/wiki/IronPort
http://ru.wikipedia.org/wiki/Cisco_Systems,http://ru.wikipedia.org/wiki/Sourcefire
http://ru.wikipedia.org/wiki/Citigroup,http://ru.wikipedia.org/wiki/Citibank
http://ru.wikipedia.org/wiki/Comair_(ЮАР),http://ru.wikipedia.org/wiki/Imperial_Air_Cargo
http://ru.wikipedia.org/wiki/Comair_(ЮАР),http://ru.wikipedia.org/wiki/Kulula.com
http://ru.wikipedia.org/wiki/Corel,http://ru.wikipedia.org/wiki/Ulead
http://ru.wikipedia.org/wiki/Crytek,http://ru.wikipedia.org/wiki/Crytek_Black_Sea
http://ru.wikipedia.org/wiki/Daimler,http://ru.wikipedia.org/wiki/Mercedes-AMG_GmbH
http://ru.wikipedia.org/wiki/Daimler,http://ru.wikipedia.org/wiki/Plymouth
http://ru.wikipedia.org/wiki/Daimler,http://ru.wikipedia.org/wiki/Mitsubishi_Fuso_Truck_and_Bus_Corporation
http://ru.wikipedia.org/wiki/Daimler_Motor_Company,http://ru.wikipedia.org/wiki/Lanchester_Motor_Company
http://ru.wikipedia.org/wiki/Daimler-Benz,http://ru.wikipedia.org/wiki/Daimler-Benz_Aerospace_AG
http://ru.wikipedia.org/wiki/Daimler-Benz,http://ru.wikipedia.org/wiki/Dornier
http://ru.wikipedia.org/wiki/Danske_Bank,http://ru.wikipedia.org/wiki/Северный_банк_(Ирландия)
http://ru.wikipedia.org/wiki/DC_Comics,http://ru.wikipedia.org/wiki/Vertigo_(комиксы)
http://ru.wikipedia.org/wiki/DC_Comics,http://ru.wikipedia.org/wiki/WildStorm
http://ru.wikipedia.org/wiki/Del_Rey_Books,http://ru.wikipedia.org/wiki/Del_Rey_Manga
http://ru.wikipedia.org/wiki/Dell,http://ru.wikipedia.org/wiki/Force10_Networks
http://ru.wikipedia.org/wiki/Dell,http://ru.wikipedia.org/wiki/Alienware
http://ru.wikipedia.org/wiki/Delta_Air_Lines,http://ru.wikipedia.org/wiki/Freedom_Airlines
http://ru.wikipedia.org/wiki/Delta_Air_Lines,http://ru.wikipedia.org/wiki/Northwest_Airlines
http://ru.wikipedia.org/wiki/Delta_Air_Lines,http://ru.wikipedia.org/wiki/Pinnacle_Airlines
http://ru.wikipedia.org/wiki/Delta_Air_Lines,http://ru.wikipedia.org/wiki/Comair
http://ru.wikipedia.org/wiki/Deutsche_Telekom,http://ru.wikipedia.org/wiki/T-Mobile
http://ru.wikipedia.org/wiki/Deutsche_Telekom,http://ru.wikipedia.org/wiki/T-Online
http://ru.wikipedia.org/wiki/DHL,http://ru.wikipedia.org/wiki/Air_Hong_Kong
http://ru.wikipedia.org/wiki/Diageo,http://ru.wikipedia.org/wiki/Old_Bushmills_Distillery
http://ru.wikipedia.org/wiki/Disney_Interactive,http://ru.wikipedia.org/wiki/Avalanche_Software
http://ru.wikipedia.org/wiki/Disney_Interactive,http://ru.wikipedia.org/wiki/Black_Rock_Studio
http://ru.wikipedia.org/wiki/Doosan,http://ru.wikipedia.org/wiki/Bobcat_Company
http://ru.wikipedia.org/wiki/Dow_Jones_&_Company,http://ru.wikipedia.org/wiki/Factiva
http://ru.wikipedia.org/wiki/DP_World,http://ru.wikipedia.org/wiki/Peninsular_and_Oriental_Steam_Navigation_Company
http://ru.wikipedia.org/wiki/DreamWorks,http://ru.wikipedia.org/wiki/DreamWorks_Records
http://ru.wikipedia.org/wiki/Dubai_World,http://ru.wikipedia.org/wiki/P&O_Ferries
http://ru.wikipedia.org/wiki/Dunkin’_Brands,http://ru.wikipedia.org/wiki/Baskin-Robbins
